"Astrocytes1" "Astrocytes2" "Endothelial1" "Endothelial2" "Microglia1" "Microglia2" "MO1" "MO2" "Neuron1" "Neuron2" "NFO1" "NFO2" "OPC1" "OPC2" "WC1" "WC2" "WC3"
"XLOC_000137" 107 84 378 294 324 271 0 54 252 159 126 143 189 174 235 204 219
"XLOC_000138" 378 235 107 174 54 84 0 189 271 324 219 252 294 204 143 126 159
"XLOC_000139" 54 0 271 294 324 378 252 235 107 126 159 219 84 143 204 189 174
"XLOC_000140" 252 294 107 143 0 54 126 84 324 378 174 159 204 189 271 235 219
"XLOC_000141" 0 252 54 84 107 126 143 159 378 324 174 294 189 204 219 235 271
"XLOC_000142" 126 143 54 0 84 107 159 174 294 235 324 378 271 252 204 189 219
"XLOC_000143" 378 324 159 189 126 0 84 219 54 107 294 271 252 235 143 174 204
"XLOC_000144" 143 235 378 324 159 126 107 0 219 204 252 54 294 84 189 174 271
"XLOC_000145" 204 219 252 235 84 0 378 324 143 107 294 271 126 54 189 174 159
"XLOC_000146" 271 378 252 219 54 0 84 235 126 159 324 143 294 107 174 189 204
"XLOC_000147" 0 159 54 84 107 126 235 174 378 324 189 204 219 143 271 252 294
"XLOC_000148" 219 235 0 54 84 107 126 143 174 271 204 159 252 189 324 378 294
"XLOC_000149" 159 126 0 54 84 143 107 174 204 324 219 189 378 294 252 271 235
"XLOC_000150" 54 189 235 252 0 84 294 204 143 107 378 271 324 219 126 159 174
"XLOC_000151" 235 378 0 219 54 84 107 126 204 252 143 159 174 189 294 324 271
"XLOC_000152" 252 294 0 219 54 84 107 126 235 143 159 174 204 189 378 324 271
"XLOC_000153" 0 54 219 189 84 235 107 174 378 271 126 143 159 204 252 294 324
"XLOC_000154" 189 84 0 54 294 378 126 107 143 204 235 271 252 324 159 174 219
"XLOC_000155" 204 189 107 0 159 271 54 84 378 219 235 126 294 143 174 252 324
"XLOC_000156" 143 174 107 84 189 235 0 54 378 294 159 126 324 271 204 219 252
"XLOC_000157" 84 143 107 126 0 54 159 189 378 324 204 174 235 219 271 252 294
"XLOC_000158" 324 252 107 143 174 271 0 54 159 235 126 84 294 378 204 189 219
"XLOC_000159" 0 219 54 204 84 107 126 143 324 378 159 174 235 189 294 271 252
"XLOC_000160" 271 204 84 0 294 324 219 107 252 378 54 126 174 235 143 159 189
"XLOC_000161" 0 84 271 235 378 294 174 219 324 252 54 159 107 204 126 189 143
"XLOC_000162" 378 324 84 107 143 159 0 174 189 204 54 126 219 271 252 294 235
"XLOC_000163" 324 378 0 54 84 107 126 143 235 159 174 189 252 204 219 294 271
"XLOC_000164" 294 324 0 54 378 271 252 84 174 107 159 126 143 235 219 189 204
"XLOC_000165" 0 54 271 294 378 324 174 107 189 126 84 159 143 204 252 235 219
"XLOC_000166" 235 189 219 174 0 54 378 324 107 84 271 294 126 252 159 204 143
"XLOC_000167" 324 378 204 189 219 235 143 54 174 159 84 107 126 0 252 271 294
"XLOC_000168" 126 84 54 143 324 378 189 235 0 107 159 174 294 219 252 271 204
"XLOC_000169" 159 174 271 235 324 378 294 252 54 0 189 219 143 204 107 126 84
"XLOC_000170" 107 84 54 0 378 294 324 174 271 219 189 235 204 252 143 126 159
"XLOC_000171" 378 324 107 0 189 219 174 159 126 235 84 54 204 143 252 271 294
"XLOC_000172" 143 0 204 235 159 378 294 252 189 107 174 271 219 324 84 126 54
"XLOC_000173" 378 324 0 54 107 84 189 159 252 219 174 143 204 126 294 235 271
"XLOC_000174" 378 324 107 126 204 159 0 54 174 235 189 84 294 143 252 219 271
"XLOC_000175" 189 126 54 107 235 294 378 324 0 84 252 271 204 219 143 159 174
"XLOC_000176" 235 189 0 54 204 174 219 143 159 126 84 107 252 324 271 378 294
"XLOC_000177" 126 107 0 54 143 252 84 174 235 219 271 294 324 378 189 204 159
"XLOC_000178" 235 143 0 54 84 107 294 378 204 252 324 271 219 189 174 159 126
"XLOC_000179" 0 54 107 84 252 378 324 271 294 219 174 204 189 235 159 126 143
"XLOC_000180" 143 84 271 252 324 378 294 235 204 219 126 189 0 174 159 107 54
"XLOC_000181" 294 271 0 54 324 378 219 189 174 84 235 143 252 126 159 107 204
"XLOC_000182" 219 189 126 174 235 271 378 324 143 0 204 294 84 252 54 159 107
"XLOC_000183" 174 189 0 54 235 252 378 324 219 204 294 271 84 107 143 159 126
"XLOC_000184" 126 189 324 378 159 204 54 143 174 0 107 84 219 235 271 294 252
"XLOC_000185" 235 204 0 54 252 378 84 174 219 159 107 126 143 189 294 324 271
"XLOC_000186" 294 378 0 159 54 324 84 107 204 271 174 126 189 143 235 219 252
"XLOC_000187" 219 189 159 54 294 324 378 271 204 84 252 235 0 174 107 143 126
"XLOC_000188" 84 126 0 107 143 54 159 174 294 252 235 271 324 378 204 189 219
"XLOC_000189" 159 219 0 54 126 189 107 174 378 294 84 143 204 324 271 252 235
"XLOC_000190" 204 159 0 54 219 235 84 174 378 324 143 107 189 126 271 294 252
"XLOC_000191" 126 107 54 0 324 378 294 271 174 84 219 252 204 235 159 189 143
"XLOC_000192" 294 271 54 0 84 126 107 159 378 324 143 174 189 204 235 252 219
"XLOC_000193" 235 0 54 84 107 126 143 252 159 294 378 324 174 189 219 271 204
"XLOC_000194" 143 84 378 324 126 204 0 159 235 219 54 107 174 189 252 271 294
"XLOC_000195" 252 235 204 174 54 0 324 294 84 189 378 271 219 159 143 107 126
"XLOC_000196" 84 126 324 378 54 143 219 235 107 0 271 294 159 252 204 174 189
"XLOC_000197" 159 126 252 294 174 235 84 219 324 189 143 271 204 378 107 54 0
"XLOC_000198" 324 378 159 204 174 189 0 54 235 219 84 107 143 126 252 271 294
"XLOC_000199" 54 143 84 107 159 0 126 174 378 324 204 189 235 219 271 294 252
"XLOC_000200" 189 174 378 324 294 271 252 235 0 54 219 204 159 143 107 126 84
"XLOC_000201" 0 54 378 324 84 107 126 143 159 174 189 204 219 235 271 294 252
"XLOC_000202" 174 107 324 378 0 54 219 204 126 84 235 189 143 159 271 252 294
"XLOC_000203" 107 84 324 378 54 0 294 235 219 189 252 271 174 204 126 159 143
"XLOC_000204" 84 107 378 324 54 0 159 126 219 143 294 235 271 252 174 204 189
"XLOC_000205" 252 0 324 378 54 84 107 126 235 294 271 143 159 174 204 189 219
"XLOC_000206" 252 378 219 0 54 84 107 126 235 189 143 159 204 174 271 294 324
"XLOC_000207" 126 143 204 235 219 252 378 324 54 0 294 271 84 107 189 174 159
"XLOC_000208" 0 143 271 294 378 324 54 189 126 159 84 107 219 204 174 235 252
"XLOC_000209" 0 54 294 324 378 84 107 126 143 159 174 189 204 219 235 252 271
"XLOC_000210" 0 54 378 324 294 84 107 126 143 159 174 189 204 219 235 252 271
"XLOC_000211" 143 159 378 324 294 252 0 54 174 84 126 107 204 189 219 235 271
"XLOC_000212" 0 84 219 204 126 54 324 252 159 294 378 271 235 107 174 189 143
